date,pm25,pm10,o3,no2,so2,co
01/08/2023,84,32,44,6,3,4
02/08/2023,83,54,50,6,0,5
03/08/2023,125,34,64,15,1,4
04/08/2023,81,36,11,25,1,2
05/08/2023,68,0,0,0,0,0
01/07/2023,76,59,134,12,1,4
02/07/2023,103,53,95,6,0,7
03/07/2023,112,23,68,6,0,3
04/07/2023,60,46,76,15,0,3
05/07/2023,64,49,105,20,0,3
06/07/2023,56,42,65,9,0,3
07/07/2023,54,15,47,8,1,1
08/07/2023,21,18,64,6,0,1
09/07/2023,33,48,124,11,1,4
10/07/2023,70,36,105,6,0,4
11/07/2023,67,31,42,7,0,7
12/07/2023,83,20,36,8,2,5
13/07/2023,63,25,47,6,0,3
14/07/2023,63,15,41,4,1,1
15/07/2023,32,21,65,8,0,1
16/07/2023,47,45,104,11,0,3
17/07/2023,77,52,103,11,1,4
18/07/2023,95,54,111,12,0,3
19/07/2023,98,56,96,13,1,4
20/07/2023,105,43,55,7,1,5
21/07/2023,102,28,33,6,0,5
22/07/2023,78,30,76,11,0,6
23/07/2023,69,52,97,9,0,5
24/07/2023,106,23,104,7,0,3
25/07/2023,48,49,85,9,1,6
26/07/2023,104,42,89,12,1,5
27/07/2023,94,22,46,9,1,4
28/07/2023,50,32,16,13,0,5
29/07/2023,69,8,30,5,1,4
30/07/2023,24,23,17,5,0,3
31/07/2023,51,36,35,7,0,6
01/04/2023,138,92,56,26,3,5
02/04/2023,163,73,49,15,2,6
03/04/2023,132,40,33,7,1,2
04/04/2023,66,34,38,7,1,1
05/04/2023,70,39,34,5,0,1
06/04/2023,56,32,35,3,0,1
07/04/2023,24,46,37,9,0,1
08/04/2023,57,87,47,21,1,4
09/04/2023,152,233,44,27,1,6
10/04/2023,188,456,37,2,0,2
11/04/2023,203,373,33,15,1,3
12/04/2023,193,552,32,27,2,6
13/04/2023,224,189,41,14,2,4
14/04/2023,167,70,37,10,0,1
15/04/2023,108,49,39,14,0,1
16/04/2023,76,92,42,16,3,4
17/04/2023,128,71,55,21,1,4
18/04/2023,99,77,81,18,1,4
19/04/2023,104,73,38,8,1,2
20/04/2023,59,39,35,5,0,1
21/04/2023,43,29,27,6,1,2
22/04/2023,67,53,37,16,0,4
23/04/2023,96,55,42,10,1,3
24/04/2023,86,68,40,6,0,2
25/04/2023,100,47,42,13,0,1
26/04/2023,57,82,31,23,1,5
27/04/2023,130,65,38,7,0,2
28/04/2023,102,41,40,8,0,1
29/04/2023,46,40,48,12,0,1
30/04/2023,52,73,84,18,2,4
01/05/2023,120,74,87,13,1,4
02/05/2023,112,75,100,16,2,6
03/05/2023,121,49,37,9,1,6
04/05/2023,95,23,32,7,0,3
05/05/2023,42,26,43,11,0,2
06/05/2023,37,30,48,16,1,5
07/05/2023,54,47,71,15,0,2
08/05/2023,71,58,72,18,1,3
09/05/2023,87,53,86,18,1,3
10/05/2023,76,69,94,18,2,4
11/05/2023,130,58,54,19,1,4
12/05/2023,136,30,60,14,0,2
13/05/2023,50,61,98,16,1,4
14/05/2023,100,76,127,13,2,8
15/05/2023,132,78,99,9,1,6
16/05/2023,129,52,64,8,1,4
17/05/2023,88,48,66,14,2,5
18/05/2023,66,66,17,18,1,7
19/05/2023,135,145,35,5,0,3
20/05/2023,120,96,43,6,0,1
21/05/2023,97,40,46,8,0,1
22/05/2023,51,41,64,14,1,2
23/05/2023,55,67,84,6,1,3
24/05/2023,89,64,47,7,1,3
25/05/2023,101,73,81,16,0,4
26/05/2023,125,76,44,12,0,7
27/05/2023,162,37,79,7,1,4
28/05/2023,97,53,102,8,0,5
29/05/2023,91,52,54,12,1,5
30/05/2023,107,63,65,14,1,5
31/05/2023,125,59,54,16,0,5
01/06/2023,104,30,53,5,0,1
02/06/2023,34,28,76,11,0,2
03/06/2023,41,26,65,10,0,2
04/06/2023,40,53,96,11,1,3
05/06/2023,74,29,71,5,1,2
06/06/2023,45,49,72,13,1,3
07/06/2023,65,39,65,8,0,1
08/06/2023,50,27,41,13,0,2
09/06/2023,47,18,45,6,0,1
10/06/2023,29,26,50,7,0,3
11/06/2023,45,25,55,5,0,4
12/06/2023,57,14,73,10,0,1
13/06/2023,23,48,120,11,1,5
14/06/2023,85,57,150,11,3,6
15/06/2023,90,61,127,11,2,7
16/06/2023,103,67,124,16,0,4
17/06/2023,105,66,122,8,1,6
18/06/2023,127,56,48,11,1,5
19/06/2023,120,28,80,9,0,2
20/06/2023,72,20,86,14,0,2
21/06/2023,33,47,115,17,1,2
22/06/2023,66,58,122,12,1,4
23/06/2023,91,52,109,12,2,4
24/06/2023,91,50,96,7,1,5
25/06/2023,94,41,78,7,0,3
26/06/2023,82,36,117,13,0,3
27/06/2023,64,45,56,12,0,5
28/06/2023,87,32,92,11,1,3
29/06/2023,59,50,132,16,1,5
30/06/2023,73,52,124,11,1,3
02/01/2023,37,38,16,16,0,3
03/01/2023,59,62,12,25,1,5
04/01/2023,111,93,7,33,2,8
05/01/2023,170,88,26,27,2,7
06/01/2023,124,67,8,29,1,4
07/01/2023,71,59,21,19,3,4
08/01/2023,79,35,21,14,1,3
09/01/2023,52,62,13,28,1,5
10/01/2023,121,82,2,35,2,8
11/01/2023,159,117,2,32,2,8
12/01/2023,170,68,25,16,0,6
13/01/2023,144,12,26,2,0,1
14/01/2023,13,21,28,5,1,1
15/01/2023,23,41,21,13,0,2
16/01/2023,61,81,27,5,0,2
17/01/2023,74,67,20,15,0,3
18/01/2023,89,72,24,15,1,3
19/01/2023,90,40,23,3,0,1
20/01/2023,38,59,21,13,2,5
21/01/2023,112,82,26,12,2,3
22/01/2023,150,50,27,2,1,3
23/01/2023,76,39,25,2,0,1
24/01/2023,32,48,16,13,1,4
25/01/2023,87,47,26,8,1,2
26/01/2023,70,21,25,3,0,2
27/01/2023,29,62,24,6,0,1
28/01/2023,58,68,30,7,0,2
29/01/2023,72,69,18,25,2,6
30/01/2023,113,71,33,20,1,6
31/01/2023,109,32,28,4,0,1
01/02/2023,34,22,18,9,1,2
02/02/2023,38,44,14,23,1,4
03/02/2023,84,54,23,21,1,6
04/02/2023,103,92,11,33,4,8
05/02/2023,168,104,28,26,5,10
